ISP,2009 - Subscribers,2009 - Share (%),2010 - Subscribers,2010 - Share (%),2011 - Subscribers,2011 - Share (%),2012 - Subscribers,2012 - Share (%),2013 - Subscribers,2013 - Share (%)
Bharat Sanchar Nigam Ltd.,7600402,54.09,9671180,57.84,11630484,57.21,12442892,54.07,13158831,60.13
Mahanagar Telephone Nigam Ltd.,2181663,15.53,2308706,13.81,2442157,12.01,2568736,11.16,1977627,9.04
Bharti Airtel Ltd.,1145723,8.15,1350033,8.07,1446715,7.12,1383036,6.01,1413929,6.46
Reliance Communications Infrastructure Limited,1037710,7.39,1317550,7.88,2427278,11.94,3580768,15.56,2596164,11.86
Sify Technologies Ltd.,346757,2.47,162808,0.97,NA,NA,NA,NA,NA,NA
Hathway Cable and Datacom Pvt. Ltd.*,339032,2.41,323896,1.94,355574,1.75,365447,1.59,368435,1.68
Tata Communications Internet Services Limited,324089,2.31,274224,1.64,164198,0.81,150644,0.65,115545,0.53
Data Infosys Ltd.,250437,1.78,104615,0.63,NA,NA,NA,NA,NA,NA
YOU Telecom India Pvt. Ltd.,199193,1.42,284926,1.7,287011,1.41,678815,2.95,361252,1.65
Asianet Satellite Communications Ltd.,76403,0.54,NA,NA,109561,0.54,NA,NA,NA,NA
Tikona Digital Networks Pvt. Ltd.,NA,NA,104653,0.63,226555,1.11,292270,1.27,269196,1.23
Beam Telecom Pvt. Ltd.,NA,NA,NA,NA,129750,0.64,222279,0.97,294211,1.34
Tata Teleservices (Maharashtra) Ltd.,NA,NA,NA,NA,NA,0,111020,0.48,NA,NA
Quadrant Televentures Ltd. (HFCL Infotel Ltd.),NA,NA,NA,NA,NA,0,NA,0,119367,0.55
Others,549248,3.91,818209,4.89,1111517,5.47,1214736,5.28,1210800,5.53
